AOA	Kwanza	Angola
ARS	Argentine Peso	Argentina
AUD	Australian Dollar	Australia,Christmas Island,Cocos (Keeling) Islands,Heard and McDonald Islands,Kiribati,Nauru,Norfolk Island,Tuvalu
AWG	Aruban Guilder	Aruba
BAM	Convertible Mark	Bosnia,Herzegovina
BBD	Barbados Dollar	Barbados
BMD	Bermudian Dollar	Bermuda
BND	Brunei Dollar	Brunei
BRL	Brazilian Real	Brazil
BSD	Bahamian Dollar	Bahamas
BWP	Pula	Botswana
BYR	Belarusian Ruble	Belarus
BZD	Belize Dollar	Belize
CAD	Canadian Dollar	Canada
CHF	Swiss Franc	Switzerland,Liechtenstein
CNY	Yuan Renminbi	China
CRC	Costa Rican Colon	Costa Rica
CZK	Czech Koruna	Czech Republic
DKK	Danish Krone	Denmark,Faroe Islands,Greenland
DOP	Dominican Peso	Dominican Republic
EGP	Egyptian Pound	Egypt
EUR	Euro	European Union: Austria,Belgium,Finland,France,Germany,Greece,Ireland,Italy,Luxembourg,Netherlands,Portugal,Spain,Slovenia. Others: Andorra,Azores,Balearic Islands,Canary Islands,Europa Island,French Guyana,French Southern Territories,Guadeloupe,Juan de Nova,Madeira Islands,Martinique,Mayotte,Monaco,Reunion,Saint Pierre & Miquelon,Saint-Martin,San Marino,Montenegro,Vatican City
FJD	Fiji Dollar	Fiji
FKP	Falkland Islands Pound	Falkland Islands (Malvinas)
GBP	Pound Sterling	United Kingdom,Canton and Enderbury Islands,South Georgia,South Sandwich Islands
GIP	Gibraltar Pound	Gibraltar
GTQ	Quetzal	Guatemala
GYD	Guyana Dollar	Guyana
HKD	Hong Kong Dollar	Hong Kong
HNL	Lempira	Honduras
HRK	Kuna	Croatia (Hrvatska)
HUF	Forint	Hungary
IDR	Rupiah	Indonesia
JMD	Jamaican Dollar	Jamaica
JPY	Yen	Japan
KYD	Cayman Islands Dollar	Cayman Islands
LBP	Lebanese Pound	Lebanon
LRD	Liberian Dollar	Liberia
LTL	Litas	Lithuania
LVL	Lat	Latvia
MYR	Malaysian Ringgit	Malaysia
MZN	Metical	Mozambique
NIO	Cordoba Oro	Nicaragua
NOK	Norwegian Krone	Norway,Antarctica,Bouvet Island,Dronning Maud Land,Svalbard and Jan Mayen Islands
NZD	New Zealand Dollar	New Zealand,Cook Islands,Niue,Pitcairn Island,Tokelau
PEN	Nuevo Sol	Peru
PHP	Philippine Peso	Philippines
PYG	Guarani	Paraguay
RON	New Leu	Romania
SBD	Solomon Islands Dollar	Solomon Islands
SEK	Swedish Krona	Sweden
SGD	Singapore Dollar	Singapore
SHP	Saint Helena Pound	Saint Helena
SOS	Somali Shilling	Somalia
SRD	Surinam Dollar	Suriname
SYP	Syrian Pound	Syria
TRY	New Turkish Lira	Turkey
TTD	Trinidad & Tobago Dollar	Trinidad and Tobago
TWD	New Taiwan Dollar	Taiwan
USD	US Dollar	United States,American Samoa,British Virgin Islands,British Indian Ocean Territory,Ecuador,El Salvador,Guam,Haiti,Mariana Islands,Marshall Islands,Micronesia,Palau,Panama,Puerto Rico,Timor Leste,Turks and Caicos Islands,U.S. Minor Outlying Islands,U.S. Virgin Islands
XCD	East Caribbean Dollar	Anguilla,Antigua & Barbuda,Dominica,Grenada,Montserrat,Saint Kitts-and-Nevis,Saint Lucia,Saint Vincent and the Grenadines
ZAR	Rand	Lesotho,Namibia,South Africa
KZT	Kazakhstani Tenge	Kazakhstan
