Code,Designation,Family,SubFamily,Price1,VAT,BarCode,PriceTierId,ImageFile,PhotoNote
TOP-001,Топ,Женское,Топ,8800,12,,T01,TOP-001-top-beige.jpg,майка бежевый
TS-001,Футболка,Женское,Футболка,12800,12,,T02,TS-001-tshirt-blue-glitter.jpg,голубая A.n
BL-001,Блуза,Женское,Блуза,15000,12,,T03,BL-001-blouse-white-pearl.jpg,белая жемчуг JAYO
BL-002,Блуза,Женское,Блуза,15000,12,,T03,BL-002-blouse-print-rhinestone.jpg,принт стразы
BL-003,Блуза,Женское,Блуза,15000,12,,T03,BL-003-blouse-peplum-white.jpg,пеплум AYARA
BL-004,Блуза,Женское,Блуза,15000,12,,T03,BL-004-blouse-abstract-blue.jpg,принт A.n
RS-001,Рубашка,Женское,Рубашка,14000,12,,T04,RS-001-shirt-stripe-blue.jpg,полоска синяя
BK-001,Накидка,Женское,Накидка,15000,12,,T06,BK-001-wrap-hood-white.jpg,белая капюшон A.n
K2-001,Костюм с брюками,Женское,Костюм с брюками,40000,12,,T08,K2-001-suit-print-bw.jpg,принт ч/б
K2-002,Костюм с брюками,Женское,Костюм с брюками,30000,12,,T13,K2-002-suit-white-summer.jpg,белый лето
PJ-001,Пиджак,Женское,Пиджак,28000,12,,T14,PJ-001-blazer-dark.jpg,тёмный
BR-001,Брюки,Женское,Брюки,13000,12,,T15,BR-001-pants-brown-vishnya.jpg,коричневые ВИШНЯ
BR-002,Брюки,Женское,Брюки,17800,12,,T16,BR-002-pants-denim-marya.jpg,джинс МАРЬЯ
BR-003,Брюки,Женское,Брюки,13000,12,,T15,BR-003-pants-white-summer.jpg,белые летние
SH-001,Шорты,Женское,Шорты,16800,12,,T17,SH-001-shorts-denim-love.jpg,джинс LOVE
SK-001,Юбка,Женское,Юбка,15000,12,,T18,SK-001-skirt-black-classic.jpg,чёрная
DR-001,Платье,Женское,Платье,20000,12,,T10,DR-001-dress-mustard-shirt.jpg,горчичное
DR-002,Платье,Женское,Платье,25000,12,,T11,DR-002-dress-floral-white.jpg,цветочек
