Code,Designation,Family,SubFamily,Price1,VAT
TOP-001,Топ,Женское,Топ,8800,12
TS-001,Футболка,Женское,Футболка,12800,12
BL-001,Блуза,Женское,Блуза,15000,12
BL-002,Блуза,Женское,Блуза,15000,12
BL-003,Блуза,Женское,Блуза,15000,12
BL-004,Блуза,Женское,Блуза,15000,12
RS-001,Рубашка,Женское,Рубашка,14000,12
BK-001,Накидка,Женское,Накидка,15000,12
K2-001,Костюм с брюками,Женское,Костюм с брюками,40000,12
K2-002,Костюм с брюками,Женское,Костюм с брюками,30000,12
PJ-001,Пиджак,Женское,Пиджак,28000,12
BR-001,Брюки,Женское,Брюки,13000,12
BR-002,Брюки,Женское,Брюки,17800,12
BR-003,Брюки,Женское,Брюки,13000,12
SH-001,Шорты,Женское,Шорты,16800,12
SK-001,Юбка,Женское,Юбка,15000,12
DR-001,Платье,Женское,Платье,20000,12
DR-002,Платье,Женское,Платье,25000,12
