# Типы товаров и коридор цен (KZT). В названиях — только тип, без цен.
# PriceMax = верхняя граница («до») — подставляется в Price1 при импорте.
#
# ID | Тип (SubFamily) | от | до | средняя (справочно)
#
T01 | Топ                 |   6800 |   8800 |   7800
T02 | Футболка            |   6800 |  12800 |   9800
T03 | Блуза               |  10000 |  15000 |  12500
T04 | Рубашка             |  10000 |  14000 |  12000
T05 | Бомбер              |  12800 |  15000 |  13900
T06 | Накидка             |  12800 |  15000 |  13900
T07 | Костюм с брюками   |  25000 |  30000 |  27500
T08 | Костюм с брюками   |  30000 |  40000 |  35000
T09 | Костюм с юбкой     |  25000 |  35000 |  30000
T10 | Платье              |  12800 |  20000 |  16400
T11 | Платье              |  20000 |  25000 |  22500
T12 | Платье              |  25000 |  35000 |  30000
T13 | Костюм с брюками   |  20000 |  30000 |  25000
T14 | Пиджак              |  23000 |  28000 |  25500
T15 | Брюки               |   8000 |  13000 |  10500
T16 | Брюки               |  13000 |  17800 |  15400
T17 | Шорты               |   8000 |  16800 |  12400
T18 | Юбка                |  10000 |  15000 |  12500
T19 | Юбка                |  15000 |  20000 |  17500
T20 | Куртка              |  20000 |  25000 |  22500
T21 | Куртка              |  25000 |  35000 |  30000
#
# Без ценового правила в исходном списке (добавить позже):
# Костюм спортивный | Костюм с шортами | Пальто
